MsgID.GLOBAL_POSITION,0.0000000,-122.3974491,37.7924785,0.0370000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,17.3070000,-0.2128283,0.3657991,-0.0376810
MsgID.LOCAL_VELOCITY,17.3070000,-0.0000201,-0.0000081,0.0000089
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924788,0.0260000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,17.5570000,-0.1844789,0.3024556,-0.0266690
MsgID.LOCAL_VELOCITY,17.5570000,0.0000055,0.0000189,0.0000026
MsgID.LOCAL_POSITION,17.8070000,-0.0126578,0.2817216,-0.0214819
MsgID.LOCAL_VELOCITY,17.8070000,0.0000121,-0.0000282,0.0000079
MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924803,0.0210000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974514,37.7924807,0.0210000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,18.0570000,0.0273823,0.1623345,-0.0210674
MsgID.LOCAL_VELOCITY,18.0570000,0.0000005,0.0000056,0.0000107
MsgID.GLOBAL_POSITION,0.0000000,-122.3974497,37.7924801,0.0240000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,18.3070000,-0.0383918,0.3154531,-0.0245392
MsgID.LOCAL_VELOCITY,18.3070000,-0.0000029,-0.0000048,0.0000079
MsgID.LOCAL_POSITION,18.5570000,0.0654219,0.3930186,-0.0315848
MsgID.LOCAL_VELOCITY,18.5570000,0.0000169,-0.0000135,0.0000077
MsgID.GLOBAL_POSITION,0.0000000,-122.3974488,37.7924810,0.0310000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924809,0.0420000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,18.8080000,0.0517946,0.2958028,-0.0423474
MsgID.LOCAL_VELOCITY,18.8080000,0.0000250,0.0000058,0.0000128
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974485,37.7924800,0.0550000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,19.0570000,-0.0513559,0.4251210,-0.0555534
MsgID.LOCAL_VELOCITY,19.0570000,0.0000177,-0.0000238,0.0000130
MsgID.LOCAL_POSITION,19.3080000,-0.0523031,0.2914737,-0.0673743
